,adj_close,adj_high,adj_low,adj_open,adj_volume,close,date,frequency,high,intraperiod,low,open,volume
60,121.108934859155,122.374193075117,120.140221537559,121.879951584507,10052384.0,122.52,2019-01-22,daily,123.8,False,121.54,123.3,10052384.0
61,122.393962734742,123.281126210387,121.296746625587,121.85029709507,6008509.0,123.82,2019-01-18,daily,124.7175,False,122.71,123.27,6008509.0
62,120.782735475352,120.998719006749,119.16162338615,119.171508215962,5029871.0,122.19,2019-01-17,daily,122.4085,False,120.55,120.56,5029871.0
63,120.219300176056,120.59492370892,119.438398620892,120.179760856807,3841100.0,121.62,2019-01-16,daily,122.0,False,120.83,121.58,3841100.0
64,120.328033303991,120.525729900235,119.42851379108,119.566901408451,3507719.0,121.73,2019-01-15,daily,121.93,False,120.82,120.96,3507719.0
65,119.003466109155,119.265216402582,118.381413769073,119.122084066901,5228909.0,120.39,2019-01-14,daily,120.6548,False,119.7607,120.51,5228909.0
66,120.061142899061,120.21435776115,118.815654342723,120.179760856807,3722370.0,121.46,2019-01-11,daily,121.615,False,120.2,121.58,3722370.0
67,120.387342282864,120.456536091549,118.568533597418,118.697036384976,3909971.0,121.79,2019-01-10,daily,121.86,False,119.95,120.08,3909971.0
68,119.300011003521,120.001833920188,118.48945495892,119.51747725939,3633663.0,120.69,2019-01-09,daily,121.4,False,119.87,120.91,3633663.0
69,118.449915639671,119.181393045775,117.609705105634,118.281873532864,4763636.0,119.83,2019-01-08,daily,120.57,False,118.98,119.66,4763636.0
70,116.789264231221,117.461432658451,115.326309419014,116.146750293427,3751204.0,118.15,2019-01-07,daily,118.83,False,116.67,117.5,3751204.0
71,115.968823356807,116.136865463615,113.121992370892,113.586579372066,4477755.0,117.32,2019-01-04,daily,117.49,False,114.44,114.91,4477755.0
72,111.609613409624,113.556924882629,111.392147153756,113.210955839202,4346659.0,112.91,2019-01-03,daily,114.88,False,112.69,114.53,4346659.0
73,113.883124266432,114.644256161972,110.403664172535,110.719978726526,4239924.0,115.21,2019-01-02,daily,115.98,False,111.69,112.01,4239924.0
74,112.360860475352,113.033028902582,111.125355597124,112.024776261737,4982755.0,113.67,2018-12-31,daily,114.35,False,112.4201,113.33,4982755.0
75,111.728231367371,113.477846244131,111.204335387324,112.904526115023,5117533.0,113.03,2018-12-28,daily,114.8,False,112.5,114.22,5117533.0
76,112.469593603286,112.469593603286,108.209133105927,108.72324310446,6045590.0,113.78,2018-12-27,daily,113.78,False,109.4699,109.99,6045590.0
77,110.107119278169,110.107119278169,104.719887030516,106.756161971831,6645794.0,111.39,2018-12-26,daily,111.39,False,105.94,108.0,6645794.0
78,106.331114289906,109.721610915493,106.261920481221,108.63427963615,3821376.0,107.57,2018-12-24,daily,111.0,False,107.5,109.9,3821376.0
79,109.66230193662,113.952318075117,109.168060446009,111.204335387324,10386453.0,110.94,2018-12-21,daily,115.28,False,110.44,112.5,10386453.0
80,111.718346537559,115.108843163146,110.413549002347,114.36748092723,8454350.0,113.02,2018-12-20,daily,116.45,False,111.7,115.7,8454350.0
81,115.089073503521,118.884848151408,114.63437133216,115.80078125,6979823.0,116.43,2018-12-19,daily,120.27,False,115.97,117.15,6979823.0
82,115.30653975939,116.868342869718,114.683795481221,115.553660504695,6290186.0,116.65,2018-12-18,daily,118.23,False,116.02,116.9,6290186.0
83,114.762874119718,118.40049149061,113.744736649061,117.698668573944,7374476.0,116.1,2018-12-17,daily,119.78,False,115.07,119.07,7374476.0
84,118.519109448357,119.715173855634,118.064407276995,118.123716255869,4554204.0,119.9,2018-12-14,daily,121.11,False,119.44,119.5,4554204.0
85,119.33955032277,120.387342282864,118.785999853286,119.863446302817,3993597.0,120.73,2018-12-13,daily,121.79,False,120.17,121.26,3993597.0
86,119.764598004695,121.464788732394,119.6064407277,121.099050029343,3560790.0,121.16,2018-12-12,daily,122.88,False,121.0,122.51,3560790.0
87,119.497707599765,122.38407790493,118.617957746479,121.830527435446,5043081.0,120.89,2018-12-11,daily,123.81,False,120.0,123.25,5043081.0
88,119.734943515258,120.280783817488,117.155002934272,118.360952171361,6549506.0,121.13,2018-12-10,daily,121.6822,False,118.52,119.74,6549506.0
89,117.965558978873,122.621313820423,117.5009719777,122.473041373239,7019616.0,119.34,2018-12-07,daily,124.05,False,118.87,123.9,7019616.0
90,122.482926203052,122.482926203052,117.927008142606,118.341182511737,6938049.0,123.91,2018-12-06,daily,123.91,False,119.301,119.72,6938049.0
91,120.199530516432,123.481294014084,119.932640111502,123.05624633216,6000697.0,121.6,2018-12-04,daily,124.92,False,121.33,124.49,6000697.0
92,123.866802376761,125.132060592723,122.927743544601,124.22265625,5843112.0,125.31,2018-12-03,daily,126.59,False,124.36,125.67,5843112.0
93,122.838780076291,123.253942928404,120.080912558685,120.258839495305,7251590.0,124.27,2018-11-30,daily,124.69,False,121.48,121.66,7251590.0
94,120.080912558685,121.702815434272,120.001833920188,121.029856220657,5200113.0,121.48,2018-11-29,daily,123.1208,False,121.4,122.44,5200113.0
95,121.583406690141,121.672370158451,118.835424002347,119.616325557512,5104520.0,123.0,2018-11-28,daily,123.09,False,120.22,121.01,5104520.0
96,118.647612235915,118.657497065728,117.006730487089,117.016615316901,4903771.0,120.03,2018-11-27,daily,120.04,False,118.37,118.38,4903771.0
97,118.183025234742,118.865078491784,116.700300762911,117.006730487089,5011130.0,119.56,2018-11-26,daily,120.25,False,118.06,118.37,5011130.0
98,115.840320569249,116.975296728286,115.563545334507,116.729955252347,2334730.0,117.19,2018-11-23,daily,118.3382,False,116.91,118.09,2334730.0
99,117.204427083333,118.133601085681,116.038017165493,116.255483421361,5335842.0,118.57,2018-11-21,daily,119.51,False,117.39,117.61,5335842.0
